"id","id","pub_date","content","category_id","views","slug","title"
"2","2","2018-02-11 01:33:00","汉皇重色思倾国，御宇多年求不得。杨家有女初长成，养在深闺人未识。
天生丽质难自弃，一朝选在君王侧。回眸一笑百媚生，六宫粉黛无颜色。
春寒赐浴华清池，温泉水滑洗凝脂。侍儿扶起娇无力，始是新承恩泽时。
云鬓花颜金步摇，芙蓉帐暖度春宵。春宵苦短日高起，从此君王不早朝。
承欢侍宴无闲暇，春从春游夜专夜。后宫佳丽三千人，三千宠爱在一身。
金屋妆成娇侍夜，玉楼宴罢醉和春。姊妹弟兄皆列土，可怜光彩生门户。
遂令天下父母心，不重生男重生女。骊宫高处入青云，仙乐风飘处处闻。
缓歌慢舞凝丝竹，尽日君王看不足。渔阳鼙鼓动地来，惊破霓裳羽衣曲。","6","2","sad","长恨歌"
"3","3","2018-02-11 03:54:53","<p><br/></p><p>哈利波特与魔法石&nbsp; :&nbsp; &nbsp;第1章 大难不死的男孩&nbsp;</p><p><br/></p><p><br/></p><p>　　家住女贞路4号的德思礼夫妇总是得意地说他们是非常规矩的人家。拜-托，拜托了。他们从来跟神秘古怪的事不沾边，因为他们根本不相信那些邪门歪道。&nbsp;</p><p><br/></p><p>　　弗农德思札先生在一家名叫格朗宁的公司做主管，公司生产钻机。他高大魁梧，胖得几乎连脖子都没有I，却蓄着一脸大胡子。德思礼太太是一个瘦削的金发女人。她的脖子几乎比正常人长一倍。这样每当她花许多时间隔着篱墙引颈而望、窥探左邻右舍时，她的长脖子可就派上了大用场。德思礼夫妇有一个小儿子，名叫达力。在他们看来，人世间没有比达力更好的孩子了。&nbsp;</p><p><br/></p><p>　　德思丰L一家什么都不缺，但他们拥有一个秘密，他们最害怕的就是这秘密会被人发现。他们想，一旦有人发现波特一家的事，他们会承受不住的。波持太太是德思礼太太的妹妹，不过她们已经有好几年不见面了。实际上，德思礼太太佯装自己根本没有这么个妹妹，因为她妹妹和她那一无是处的妹夫与德思礼一家的为人处世完全不一样。一想到邻居们会说波特夫妇来到了，德思礼夫妇会吓得胆战心惊。他们知道波特也有个儿子，只是他们从来没有见过。这孩子也是他们不与波特夫妇来往的一个很好的借口，他们不愿让达力跟这种孩子厮混。&nbsp;</p><p><br/></p><p>　　我们的故事开始于一个晦暗、阴沉的星期二，德思礼夫妇一早醒来，窗外浓云低垂的天空并没有丝毫迹象预示这地方即将发生神秘古怪的事情。德思礼先生哼着小曲，挑出一条最不喜欢的领带戴着上班，德思礼太太高高兴兴，一直絮絮叨叨，把唧哇乱叫的达力塞到了儿童椅里。&nbsp;</p><p><br/></p><p>　　他们谁也没留意一只黄褐色的猫头鹰丰卜扇着翅膀从窗前飞过。&nbsp;</p><p><br/></p><p>　　八点半，德思礼先生拿起公文包，在德思礼太太面颊上亲了一下，正要亲达力，跟这个小家伙道别，可是没有亲成，小家伙正在发脾气，把麦片往墙上摔。“臭小子。”德思礼先生嘟哝了一句，咯咯笑着走出家门，坐进汽车，倒出四号车道。&nbsp;</p><p><br/></p><p>　　在街角上，他看到了第一个异常的信号—— 一只猫在看地图。一开始，德思礼先生还没弄明白他看到了什么，于是又回过头去。只见一只花斑猫站在女贞路路口，但是没有看见地图。他到底在想些什么?很可能是光线使他产生了错觉吧。德思礼先生眨了眨眼，盯着猫着，猫也瞪着他。当德思礼先生拐过街角继续上路的时候，他从后视镜里看看那只猫。猫这时正在读女贞路的标牌，不，是在看标牌；猫是不会读地图或是读标牌的。德思礼先生定了定神，把猫从脑海里赶走。他开车进城，一路上想的是希望今天他能得到一大批钻机的定单。&nbsp;</p><p><br/></p><p>　　但快进城时，另一件事又把钻机的事从他脑海里赶走了。当他的车汇入清晨拥堵的车流时，他突然看见路边有一群穿着奇装异服的人。他们都披着斗篷。德思礼先生最看不惯别人穿得怪模怪样，瞧年轻人的那身打扮!他猜想这大概又是一种无聊的新时尚吧。他用手指敲击着方向盘，目光落到了离他最近的一大群怪物身上。他们正兴致勃勃，交头接耳。德思礼先生很生气，因为他发现他们中间有一对根本不年轻了，那个男的显得比他年龄还大，竟然还披着一件翡翠绿的斗篷!真不知羞耻!接着，德思礼先生突然想到这些人大概是为什么事募捐吧，不错，就是这么回事。车流移动了，几分钟后德思礼先生来到格朗宁公司的停车场，他的思绪又回到了钻机上。&nbsp;</p><p><br/></p><p>　　德思礼先生在他九楼的办公室里，总是习惯背窗而坐。如果不是这样，他可能会发现这一天早上他更难把思想集中到钻机的事情上了。他没有看见成群的猫头鹰在光天化日之下从天上飞过，可街上的人群都看到了；他们目瞪口呆，指指点点，盯着猫头鹰一只接一只从头顶上掠过。他们大多甚至夜里都从未见过猫头鹰。德思礼先生这天早上很正常，没有受到猫头鹰的干扰。他先后对五个人大喊大叫了一遍，又打了几个重要的电话，喊的声音更响。他的情绪很好，到吃午饭的时候，他想舒展一下筋骨，到马路对角的面包房去买一只小甜圆面包。&nbsp;</p><p><br/></p><p>　　若不是他在面包房附近又碰到那群批斗篷的入，他早就把他们忘了。他经过他们身边时，狠狠地瞪了他们一眼。他说不清这是为什么，只是觉得这些人让他心里别扭。这些人正嘁嘁喳喳，讲得起劲，但他连一只募捐箱也没有看见。当他拎着装在袋里的一只大油饼往回走，经过他们身边时，他们的话断断续续飘入他的耳鼓：“波特夫妇，不错，我正是听说—— ”&nbsp;</p><p><br/></p><p>　　“—— 没错，他们的儿子，哈利—— ”&nbsp;</p><p><br/></p><p>　　他突然停下脚步，恐惧万分。他回头朝窃窃私语的人群看了一眼，似乎想听他们说点什么，后来又改变了主意。&nbsp;</p><p><br/></p><p>　　他冲到马路对面，回到办公室，厉声吩咐秘书不要打扰他，然后抓起话筒，刚要拨通家里的电话，临时又变了卦。他放下话筒，摸着胡须，琢磨起来..不，他太愚蠢了。波特并不是一个稀有的姓，肯定有许多人姓波特，而且有儿子叫哈利。想到这里，他甚至连自己的外甥是不是Ⅱq哈和]都拿不定了。他甚至没见过这孩子。说不定叫哈维，或者叫哈罗德。没有必要让太太烦心，只要一提起她妹妹，她总是心烦意乱。他并不责怪她—— 要是他自己有一个那样的妹妹呢..可不管怎么说，这群披斗篷的人..那天下午，他发现自己很难专心考虑钻机的事。五点钟他走出办公室大楼，依旧心事重重，与站在门口的一个人撞了个满怀。&nbsp;</p><p><br/></p><p>　　这个小老头打了个趔趄，差点儿摔倒。“对不起。”德思礼先生嘟哝说。过了几秒钟，他才发现这入披了一件紫罗兰色斗篷。他几乎被撞倒在地，可他似乎一点儿不生气，脸上反而绽出灿烂的笑容。“您不用道歉，尊贵的先生，因为今天没有事会惹我生气!太高兴了，因为‘神秘人’总算走了!就连像你这种麻瓜，也应该好好庆贺这大喜大庆的日子!”他说话的声音尖细刺耳，令过往的人侧目。&nbsp;</p><p><br/></p><p>　　老头说完，搂了搂德思礼先生的腰，就走开了。&nbsp;</p><p><br/></p><p>　　德思礼先生站在原地一动不动，仿佛生了根。他刚刚被一个完全陌生的人搂过。他还想到自己被称做“麻瓜”，不知这是什么意思。他心乱如麻，连忙朝自己的汽车跑过去，开车回家。他希望这一切只是幻象，他从来没有幻想过什么，因为他根本不赞同幻想。当他驶入四号车道时，第一个映入眼帘的就是早上他见过的那只花斑猫，这并没有使他的心情好转。这时猫正坐在他家花园的院墙上。他肯定这只猫和早上的是同一只：眼睛周围的纹路一模一样。&nbsp;</p><p><br/></p><p>　　“去..去!”德思礼先生大喝道。&nbsp;</p><p><br/></p><p>　　猫纹丝不动，只是狠狠地瞪了他一眼。这难道是一只正常的猫的行为吗?德思礼先生感到怀疑。他先让自己镇定下来，随后就进屋去了。他仍决定对太太只字不提。&nbsp;</p><p><br/></p><p>　　德思礼太太这一天过得很好，一切正常。晚饭桌上，德思礼太太向他讲述了邻居家的母女矛盾，还说达力又学会一个新词(“绝不”)，德思礼先生也尽量表现-3-得正常。安顿达力睡下之后，他来到起居室，听到晚间新闻的最后一段报道：“最后，据各地鸟类观察者反映，今天全国猫头鹰表现反常。通常情况下，它们都是在夜间捕食，白天很少露面，可是今天，日出时猫头鹰就四处纷飞。专家们也无法解释猫头鹰为什么改变了它们的睡眠习惯。”新闻播音员说到这里，咧嘴一笑。“真是太奇妙了。现在我把话筒交给吉姆麦古，问问他天气情况如何。吉姆，今天夜里还会下猫头鹰雨吗?”&nbsp;</p><p><br/></p><p>　　“噢，泰德，”气象播音员说，“这我可不知道，今天不仅猫头鹰表现反常。全国各地远至肯特郡、约克郡、丹地①等地的目击者都纷纷打来电话说，我们原来预报昨天有雨，结果下的不是雨丽是流星!也许人们把本该一星期后举行的庆祝篝火之夜②晚会提前举行了，朋友们!不过我向你们保证，今晚一定有雨。”&nbsp;</p><p><br/></p><p>　　德思礼先生坐在扶手椅里惊呆了。英国普遍下流星雨?猫头鹰光天化日之下四处纷飞?到处都是披着斗篷的怪人?还有一些传闻，关于波特一家的传闻..德思辛L太太端着两杯茶来到起居室。情况不妙。他应该向她透露一些。他心神不定，清了清嗓子。“唔—— 佩妮，亲爱的—— 最近有你妹妹的消息吗?”&nbsp;</p><p><br/></p><p>　　不出所料，德思礼太太大为吃惊，也很生气。不管怎么说，他们通常都说自己没有这么个妹妹。&nbsp;</p><p><br/></p><p>　　“没有，”她厉声说，“怎么了?”&nbsp;</p><p><br/></p><p>　　“今天的新闻有点奇怪，”德思礼先生咕哝说，“成群的猫头鹰..流星雨..今天城里又有那么多怪模怪榉的人..”&nbsp;</p><p><br/></p><p>　　“那又怎么样?&#39;’德思礼太太急赤白脸地说。&nbsp;</p><p><br/></p><p>　　“哦，我是想..说不定..这跟..你知道..她那一群人有关系..”&nbsp;</p><p><br/></p><p>　　德思礼太太嘬起嘴唇呷了一口茶。德思礼先生不知道自己是不是该大胆地把听到“哈利”名字的事告诉她。他决定还是不要太冒失。于是他尽量漫不经心地改口说：“他们的儿子—— 他现在该有达力这么大了吧?”&nbsp;</p><p><br/></p><p>　　“我想是吧。”德思礼太太子巴巴地说。．、“他叫什么来着?是叫霍华德吧?”“叫哈利，要我说，这是一个不讨人喜欢的普通名字。” “哦，是的。”德思礼先生说着，感到心里突然往下一沉。“不错，我也这么想。”他们上楼睡觉时，他就再也没有提到这个话题了。德思礼太太进浴室以后。德思礼先生就轻手轻脚来到卧室窗前，看看前面的花园。那只猫还在原地，正目①肯特郡在英格兰南部。约克郡在英格兰北部。丹地是英格兰北部海港。&nbsp;</p><p><br/></p><p>　　②指每年11月5日在英国举行的庆祝篝火之夜活动。&nbsp;</p><p><br/></p><p>　　不转睛地盯着女贞路路口，好像在等待什么。&nbsp;</p><p><br/></p><p>　　他是在想入非非吗?这一切会与波特一家有关吗?如果真有关系—— 如果最后真跟他们夫妇有关—— 那么，他认为他是承受不住的。&nbsp;</p><p><br/></p><p>　　德思礼夫妇睡下了。德思礼太太很快就睡着了，德思礼先生却思绪万千，怎么也睡不着觉。不过在他入睡前，最后一个想法使他感到安慰：即使波特一家真的被卷了进去，也没有理由牵连他和他太太。波特夫妇很清楚德思札夫妇对他们和他们那群人的看法。他打了个哈欠，翻过身去。不会影响他们的..他可是大错特错了。&nbsp;</p><p><br/></p><p>　　德思礼先生迷迷糊糊，本来可能胡乱睡上一觉，可花园墙头上那只猫却没有丝毫睡意。它卧在墙头上，宛如一座雕像，纹丝不动，目不转睛地盯着女贞路远处的街角。邻街的一辆汽车砰的一声关上车门，两只猫头鹰扑扇着从头顶上飞过，它也一动不动。实际上，快到午夜时，它才开始动了动。&nbsp;</p><p><br/></p><p>　　猫一直眺望着的那个街角出现了一个男人，他来得那样突然，悄无声息，简直像是从地里冒出来的。猫尾巴抖动了一下，眼睛眯成了一条缝。&nbsp;</p><p><br/></p><p>　　女贞路上从来没有见过这个男人。他个子瘦高，银发和银须长到都能够塞到腰带里了，凭这一点就可以断定他年纪已经很大了。他穿一件长袍，披一件掩到地的紫色斗篷，登一双带搭扣的高跟靴子。半月形的眼镜后边二对湛蓝湛蓝的明亮眼睛闪闪放光。他的鼻子很长，但是扭歪了，看来至少断过两次。他的名字叫阿不思邓布利多。&nbsp;</p><p><br/></p><p>　　阿不思邓布利多似乎并没有意识到从他的名字到他的靴子，在他来到的这条街上都不受欢迎。他忙着在斗篷口袋里翻寻，好像找什么东西。他也没有发现有人监视他，因为他突然抬头看见一直在街那头注视着他的那只猫，出于某种原因，他觉得这只猫的样子很好笑。他咯咯笑着，嘟哝说：“我早就该想到了。”&nbsp;</p><p><br/></p><p>　　他在里边衣袋里找出了他要找的东西，看起来像一只银制打火机。他把它轻轻弹开，高举起来，咔哒一声，离得最近的一盏路灯噗的一声熄灭了。他又打了一下—— 第二盏灯也熄灭了。他用熄灯器打了十二次，整条街上只剩下远处两个小小的光点，那就是监视他的那只猫的两只眼睛。如果这时有人向窗外看，即使是眼尖的德思礼太太，也不会看到马路上发生的一切。邓布利多把熄灯器放回斗篷里边的口袋里，之后就顺着街道向四号走去。他在墙头猫的身边坐下来。他没有看它，但过了一会儿便跟它说起话来。&nbsp;</p><p><br/></p><p>　　“真没想到会在这里见到您，麦格教授。”&nbsp;</p><p><br/></p><p>　　他回头朝花斑猫微微一笑。花斑猫不见了，换成一个神情严肃的女人，戴一副方形眼镜，看起来跟猫眼睛周围的纹路一模一样。她也披了一件翠绿色斗篷，乌黑的头发挽成一个很紧的发髻。她显得非常激动。&nbsp;</p><p><br/></p><p>　　“您怎么认出那是我?”她问。&nbsp;</p><p><br/></p><p>　　-5-“我亲爱的教授，我从来没有见过一只猫像这样僵硬地待着。”&nbsp;</p><p><br/></p><p>　　“您要是在砖墙上坐一整天，您也会变僵的。”麦格教授说。&nbsp;</p><p><br/></p><p>　　“一整天?您本来应当参加庆祝会的呀?我一路来到这里，至少遇上了十二场欢快的聚会和庆祝活动。”&nbsp;</p><p><br/></p><p>　　麦格教授气呼呼地哼了一声。&nbsp;</p><p><br/></p><p>　　“哦，不错，人人都在庆贺，很好!”她恼火地说。“您以为他们会更小心谨慎，其实不然，连麻瓜们都注意到有什么事情发生了，都上了他们的电视新闻。”她猛地把头转向德思礼家漆黑的起居室窗口。“我都听见了。成群的猫头鹰..流星雨..好了，他们也不是十足的傻瓜。有些事也会弓I起他们的注意。肯特郡下的那场流星雨—— 我敢说准是迪歌干的。他本来就没多少头脑。”&nbsp;</p><p><br/></p><p>　　“您不能责怪他们，”邓布利多心平气和地说，“十一年来值得我们庆贺的事太少了。”&nbsp;</p><p><br/></p><p>　　“这我知道，”麦格教授气呼呼地说，“但这些不是冒险胡来的理由。他们也太不小心了，大白天跑到街上，也不穿上麻瓜们的衣服，还在那里传递消息。”&nbsp;</p><p><br/></p><p>　　说到这里，她机敏地朝邓布利多斜瞟了一眼，似乎希望他能告诉她些什么，但邓布利多没有吱声，于是她接着说：“神秘人终于不见了，如果正好在他失踪的那一天，麻瓜们发现了我们的一切，那可真太奇妙了。我想他真的走了吧，邓布利多?”&nbsp;</p><p><br/></p><p>　　“好像是这样，”邓布利多说，“我们应该感到欣慰。您来一块柠檬雪糕好吗?”&nbsp;</p><p><br/></p><p>　　“一块什么?”“一块柠檬雪糕。这是麻瓜们的一种甜点。我很喜欢。” “不了，谢谢。”麦格教授冷冷地说，看来她认为现在不是吃柠檬雪糕的时候。“像我说的，即使‘神秘人’真的走了—— ”&nbsp;</p><p><br/></p><p>　　“我亲爱的教授，像您这样的明白人，总该可以直呼他的大名吧?什么神秘人不神秘人的，全都是瞎扯淡—— 十一年了，我一直想方设法说服大家，直呼他本人的名字：伏地魔，”麦格教授打了个寒噤，可邓布利多在掰两块粘在一起的雪糕，似乎没有留意。“要是我们还继续HLf神秘入神秘人的，一切就都乱套了。我看直呼伏地魔的大名也没有任何理由害怕。”&nbsp;</p><p><br/></p><p>　　“我知道您不害怕，”麦格教授半是恼怒，半是夸赞地说。“尽人皆知，您与众不同。神秘人—— 哦，好吧，伏地魔—— 惟一害怕的就是您。” “您太抬举我了。”邓布利多平静地说，“伏地魔拥有我永远也不会有的功力。”“那是因为您太—— 哦—— 太高尚了，不愿意运用它。” “幸亏这里很黑，庞弗雷夫人说她喜欢我的新耳套以后，我还没有像现在这样脸红过呢。”&nbsp;</p><p><br/></p><p>　　麦格教授狠狠地瞪了邓布利多一眼，说：“猫头鹰和沸沸扬扬的谣言毫不相干。您知道大伙都在说什么吗?说他为什么失踪?说最终是什么制止了他?”&nbsp;</p><p><br/></p><p>　　这一来，麦格教授似乎点到了她急于想讨论的问题核心，这也正是她在冰冷的砖墙上守候了一整天的原因。不管她是一只猫，或是一个女人，她从来都不曾用现在这样锐利的眼光看邓布利多。显然，不管大家怎么说，只有从邓布利多口中得到证实，她才会相信。邓布利多却挑了另一块柠檬雪糕，没有答话。&nbsp;</p><p><br/></p><p>　　“他们说，”她不依不饶地说，“昨天夜里伏地魔绕到高锥克山谷。他们是去找波特夫妇的，谣传莉莉和詹姆波特都—— 都—— 他们都已经—— 死了。”&nbsp;</p><p><br/></p><p>　　邓布利多低下头。麦格教授倒抽了一口气。&nbsp;</p><p><br/></p><p>　　“这—— 这是真的吗?莉莉和詹姆..我不相信..我也不愿相信..哦，阿不思..”&nbsp;</p><p><br/></p><p>　　邓布利多伸手拍了拍她的肩膀。“我知道..我知道..”他心情沉重地说。&nbsp;</p><p><br/></p><p>　　麦格教授接着往下说，她的声音颤抖了。“还不止这些。他们说，他还想杀波特夫妇的儿子哈利，可是没有成功。他杀不死那个孩子。没有人知道为什么，也没有人知道怎么会杀不死。不过他们说，当伏地魔杀不死哈利的时候，他的功法就不知怎的失灵了—— 所以他才走掉了。”&nbsp;</p><p><br/></p><p>　　邓布利多愁眉不展地点了点头。&nbsp;</p><p><br/></p><p>　　“这—— 这是真的吗?”麦格教授用颤巍巍的声音说。“他做了这么多坏事..杀了这么多人..可竟然杀不了一个孩子?这简直令人震惊..我们想了那么多办法去阻止他..可苍天在上，哈利究竟是怎么幸免于难的呢?”&nbsp;</p><p><br/></p><p>　　“我们只能猜测，”邓布利多说，“我们可能永远也不会知道。”&nbsp;</p><p><br/></p><p>　　麦格教授掏出一块花边手帕轻轻拭了拭镜片后边的眼睛。邓布利多深深吸了一口气，从衣袋里掏出一块金表，认真看起来。那只表样子很奇怪，有十二根指针，却没有数字，还有一些小星沿着表盘边缘转动。邓布利多显然看明白了，他把表放回衣袋，说：“海格肯定迟到了。顺便问一句，我想，大概是他告诉您我要到这里来的吧?”&nbsp;</p><p><br/></p><p>　　“是的，”麦格教授说，“可去的地方多了，您为什么偏偏要到这里来呢?我想，您大概不会告诉我吧?’&#39;“我是来接哈利，把他送到他姨妈姨父家的。现在他们是他惟一的亲人了。”&nbsp;</p><p><br/></p><p>　　“您不会是指—— 您不可能是指住在这里的那家人吧?”她噌地跳起来，指着四号那一家。“邓布利多—— 您可不能这么做。我观察他们一整天了。您找不到比他们更不像你我这样的人了。他们还有一个儿子—— 我看见他在大街上一路用脚踢他母亲， 吵着要糖吃。要哈利波特住在这里?!”&nbsp;</p><p><br/></p><p>　　-7-“这对他是最合适的地方了。”邓布利多坚定地说，“等他长大一些，他的姨妈姨父会向他说明一切。我给他们写了一封信。”&nbsp;</p><p><br/></p><p>　　“一封信?”麦格教授有气无力地重复说，又坐回到墙头上。“邓布利多，您当真认为用一封信您就能把一切都解释清楚吗?这些人永远也不会理解他的!他会成名的—— 一个传奇人物—— 如果将来有一天把今天定为哈利波特日，我一点儿也不会觉得奇怪—— 会有许多写哈利的书—— 我们世界里的每一个孩子都会知道他的名字!”&nbsp;</p><p><br/></p><p>　　“说得对极了，”邓布利多说，他那半月形眼镜上方的目光显得非常严肃，“这足以使任何一个孩子冲昏头脑。不会走路、不会说话的时候就一举成名!甚至为他根本不记得的事情而成名!让他在远离过去的地方成长，直到他能接受这一切，再让他知道，不是更好吗?”&nbsp;</p><p><br/></p><p>　　麦格教授张开嘴，改变了看法。她咽了口唾沫，接着说：“是啊—— 是啊，当然您是对的。可怎么把孩子弄到这里来呢，邓布利多?”她突然朝他的斗篷看了一眼，好像他会把哈利藏在斗篷里。&nbsp;</p><p><br/></p><p>　　“海格会把他带到这里来。”，“把这么重要的事情托付给海格去办—— 您觉得—— 明智吗?，，“我可以把我的身家性命托付给他。”邓布利多说。&nbsp;</p><p><br/></p><p>　　“我不是说他心术不正，”麦格教授不以为然地说，“可是您不能不看到他很粗心。他总是—— 那是什么声音?”&nbsp;</p><p><br/></p><p>　　一阵低沉的隆隆声划破了周围的寂静。当他们来回搜索街道上是否有汽车前灯的灯光时，响声越来越大，最后变成一阵吼叫。他们抬眼望着天空，只见一辆巨型摩托自天丽降，停在他们面前的街道上。&nbsp;</p><p><br/></p><p>　　如果说摩托是一辆巨型摩托，那么骑车人就更不在话下了。那人比普通人高一倍，宽度至少有五倍，似乎显得出奇地高大，而且粗野—— 纠结在一起的乱蓬蓬的黑色长发和胡须几乎遮住了大部分脸庞，那双手有垃圾桶盖那么大，一双穿着皮靴的脚像两只小海豚。他那肌肉发达的粗壮双臂抱着一卷毛毯。&nbsp;</p><p><br/></p><p>　　“海格，”邓布利多说，听起来像松了一口气，“你总算来了。这辆摩托车你是从哪里弄来的?”&nbsp;</p><p><br/></p><p>　　“借来的，邓布利多教授，”巨人一边小心翼翼地跨下摩托车，一边说，“是小天狼星布莱克借给我的。我把他带来了，先生。”&nbsp;</p><p><br/></p><p>　　“没有遇到麻烦吧?”&nbsp;</p><p><br/></p><p>　　“没有，先生—— 房子几乎全毁了。我们赶在麻瓜们从四面八方汇拢来之前把他抱了出来。当我们飞越布里斯托尔①上空的时候，他睡着了..”&nbsp;</p><p><br/></p><p>　　①布里斯托尔，英格兰西南部港甜城市．艾文郡首府．临布里斯托尔海峡。&nbsp;</p><p><br/></p><p>　　邓布利多和麦格教授朝那卷毛毯俯下身去。他们看见毛毯里裹着一个男婴，睡得正香。孩子前额上一绺乌黑的头发下边有一处刀伤，伤口形状很奇怪，像一道闪电。&nbsp;</p><p><br/></p><p>　　“这地方就是—— ”麦格教授低声说。&nbsp;</p><p><br/></p><p>　　“是的，”邓布利多说，“他一辈子都要带着这道伤疤了。”&nbsp;</p><p><br/></p><p>　　“你不能想想办法吗?邓布利多?”&nbsp;</p><p><br/></p><p>　　“即使有办法，我也不会去做。伤疤今后可能会有用处。我左边膝盖上就有一个疤，是一幅完整的伦敦地铁图。好了—— 把他给我吧，海格—— 咱们最好还是把事情办妥。”&nbsp;</p><p><br/></p><p>　　邓布利多把哈利拖在怀里，朝德思礼家走去。&nbsp;</p><p><br/></p><p>　　“我能—— 我能跟他告别一下吗?先生?”海格问。&nbsp;</p><p><br/></p><p>　　他把毛发蓬乱的大头凑到哈利脸上，给了他一个胡子拉碴、痒乎乎的吻。接着海格突然像一只受伤的狗号叫了一声。&nbsp;</p><p><br/></p><p>　　“嘘!”麦格教授嘘了他一声，“你会把麻瓜们吵醒的!”&nbsp;</p><p><br/></p><p>　　“对一对一对不起，”海格抽抽搭搭地说，掏出一块污渍斑斑的大手帕，把脸埋在手帕里，“我一我实在受一受不了—— 莉莉和詹姆死了—— 可怜的小哈利又要住在麻瓜们家里—— ”&nbsp;</p><p><br/></p><p>　　“是啊，是啊，是令人难过，可你得把握住自己，不然我们会被发现的。”麦格教授小声说，轻轻拍了一下海格的臂膀。这时邓布利多正跨过花园低矮的院墙，朝大门走去。他轻轻把哈利放到大门口的台阶上，从斗篷里掏出一封信，塞到哈利的毛毯里，然后回到另外两个人身边。他们三人站在那里对小小的毯子注视了足有一分钟。海格的肩膀在抖动，麦格教授拼命眨眼，邓布利多一向闪光的眼睛也暗淡无光了。&nbsp;</p><p><br/></p><p>　　“好了，”邓布利多终于说，“到此结束了。我们没有必要继续待在这里。咱们还是去参加庆祝会吧。”&nbsp;</p><p><br/></p><p>　　“是啊，”海格咕哝说，“我得去把车还给小天狼星。晚安，麦格教授—— 晚安，邓布利多教授。”&nbsp;</p><p><br/></p><p>　　海格用外衣衣袖揩了揩流泪的眼睛，跨上摩托，踩着了发动机，随着一声吼叫，摩托车腾空而起，消失在夜色里。&nbsp;</p><p><br/></p><p>　　“希望很快和您见面，麦格教授。”邓布利多朝麦格教授点头说。她擤了擤鼻子作为回答。&nbsp;</p><p><br/></p><p>　　邓布利多转身来到街上。他在街角上掏出银制熄灯器，咔哒弹了一下，只见十二个火球又回到各自的路灯上，女贞路顿时映照出一片橙黄，他看见一只花斑猫正悄悄从街那头的拐角溜掉了。他恰好可以看见4号台阶上放着的那个用毯子裹着的小包。&nbsp;</p><p><br/></p><p>　　-9-“祝你好运，哈利。”他喃喃地说，噔地厢脚跟一转身，只听斗篷飕的一声，他已经消失得无影无踪了。&nbsp;</p><p><br/></p><p>　　微风拂动着女贞路两旁整洁的树篱，街道在漆黑的天空下寂静无声，一尘不染，谁也不会想到这里会发生骇人听闻的事情。哈利波特在毯子包里翻了个身，但他并没有醒。他的一只小手正好放在那封信旁边。他还继续沉睡，一点不知道他很特殊，不知道他名气很大，不知道再过几小时，等德思礼太太开大门放奶瓶时，他会被她的尖叫声吵醒；更不会知道，在未来的几个星期，他表哥达力会对他连捅带戳，连掐带拧..他也不可能知道，就在此刻，全国人都在秘密聚会。人们高举酒杯悄声说：“祝福大难不死的孩子—— 哈利．波特!”&nbsp;</p><p><br/></p><p>　　 -10-</p><p><br/></p><p><br/></p><p><br/></p><p>哈利波特与魔法石&nbsp; :&nbsp; &nbsp;第2章 悄悄消失的玻璃&nbsp;</p><p><br/></p><p><br/></p><p>　　自从德思礼夫妇一觉醒来在大门口台阶上发现他们的外甥以来，快十年过去了，女贞路却几乎没有变化。太阳依旧升到屋前整洁的花园上空，照亮德思礼家大门上的四号铜牌；阳光悄悄爬进他们的起居室，这里和德思礼先生当年收看关于猫头鹰的重大新闻的那个晚上一模一样。只有壁炉台上的照片显示出流逝了多少时光。十年前，这里摆放着许多照片，看上去像戴着五颜六色婴儿帽的一只粉红色的大海滩气球—— 只是达力已不再是婴JL了，照片上是一个大头男孩骑着他的第一辆自行车，在博览会上乘坐旋转木马，跟父亲玩电脑游戏，被母亲拥着亲吻。这个房间里没有任何迹象表明这栋房子里还住着另一个男孩。&nbsp;</p><p><br/></p><p>　　哈利波特还住在这里，此刻他正在睡觉，但不会太久。他的佩妮姨妈已经醒了，每天这里发出的第一声噪音就是她的尖叫声。&nbsp;</p><p><br/></p><p>　　“起来!起床了!赶快!”&nbsp;</p><p><br/></p><p>　　哈利被惊醒了。他的姨妈又在拍打他的房门。&nbsp;</p><p><br/></p><p>　　“起来!”她尖叫道。哈利听见她朝厨房走去，接着就是煎锅放到炉子上的声音。他翻身背对着门，尽力回忆刚才做过的梦。那是一个好梦。梦里有一辆会-11-飞的摩托车。他感到很有趣，似乎以前也做过同样的梦。&nbsp;</p><p><br/></p><p>=黑洞洞的碗柜里有些关系，他显得比他的同龄人瘦小。他看上去甚至比他实际的身材还要瘦小，因为他只能穿达力的旧衣服，而达力要比他高大三四倍。哈利有一张消瘦的面孔、膝盖骨突出的膝盖、乌黑的头发和一对翠绿的眼睛。他戴着一副用许多透明<br/></p>","6","2","h1","哈利波特"
"4","4","2018-02-11 05:37:00","樊佳亮大三的大叔大婶多2爱仕达大撒所多爱仕达奥所多","6","2","by","by sd"
"5","5","2018-02-12 14:10:00","第二篇文章","6","0","ar_2","文章_2"
"6","6","2018-02-12 14:11:00","第三票文章","6","0","ar_3","文章_3"
"7","7","2018-02-12 14:12:00","qweqweqwewqeqwe","6","0","sad4","文章sad+4"
"8","8","2018-02-12 14:12:00","asdasdasdasd
asdasdas
das
d
as
das
d
","6","0","_5","文章_5"
"9","9","2018-02-15 01:56:00","asdasdasd","6","0","art_6","6"
"10","10","2018-02-15 01:57:00","art7","6","0","ar_7","7"
"11","11","2018-02-15 01:57:00","art_8","6","0","ar_8","8"
